,id,point,type,site
44,c756927a-2e7c-4545-8a10-ab82c52a446c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC2.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
45,c756927a-2e7c-4545-8a10-ab82c52a446c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC2.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
46,c756927a-2e7c-4545-8a10-ab82c52a446c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC2.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
47,c756927a-2e7c-4545-8a10-ab82c52a446c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC2.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
48,ebd88574-1bd6-4e41-a788-89185f74268b,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC4.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
49,ebd88574-1bd6-4e41-a788-89185f74268b,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC4.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
50,ebd88574-1bd6-4e41-a788-89185f74268b,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC4.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
51,ebd88574-1bd6-4e41-a788-89185f74268b,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC4.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
52,78883812-04d1-424a-a615-80b22bcc6f56,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC3.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
53,78883812-04d1-424a-a615-80b22bcc6f56,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC3.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg2
54,78883812-04d1-424a-a615-80b22bcc6f56,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC3.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
55,78883812-04d1-424a-a615-80b22bcc6f56,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC3.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg2
56,1c6d9ea8-f32f-4aa3-a267-3c5a2f297028,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC03.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
57,1c6d9ea8-f32f-4aa3-a267-3c5a2f297028,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC03.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
58,063306a5-86c5-4e85-8cc1-b7443624151c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC04.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
59,063306a5-86c5-4e85-8cc1-b7443624151c,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC04.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
60,ba85e48a-ff86-4208-b9c9-6fdea781b2dd,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC02.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
61,ba85e48a-ff86-4208-b9c9-6fdea781b2dd,http://buildsys.org/ontologies/bldg2#bldg2.AHU.AC02.Outside_Air_Temp,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,bldg2
